,Unnamed: 0,Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Streams,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Valence,Chord,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,score
727,727,728,35,5,2020-11-06--2020-11-13,5314734,1276406,6FuGJB290AQMAHTfjOYVaK,['cali rap'],2020-11-06,"2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13",77,0.699,G,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988,audio_features,6FuGJB290AQMAHTfjOYVaK,spotify:track:6FuGJB290AQMAHTfjOYVaK,https://api.spotify.com/v1/tracks/6FuGJB290AQMAHTfjOYVaK,https://api.spotify.com/v1/audio-analysis/6FuGJB290AQMAHTfjOYVaK,192745,4,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,5.457591142857143
728,728,729,41,1,2020-11-27--2020-12-04,12914431,36177712,0tjZv2hChdHZCW1zFXpy1J,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,70,0.375,B,0.86,0.725,11,-6.7,1,0.249,0.0464,9.1e-05,0.0994,0.375,145.001,audio_features,0tjZv2hChdHZCW1zFXpy1J,spotify:track:0tjZv2hChdHZCW1zFXpy1J,https://api.spotify.com/v1/tracks/0tjZv2hChdHZCW1zFXpy1J,https://api.spotify.com/v1/audio-analysis/0tjZv2hChdHZCW1zFXpy1J,162151,4,HOY COBRÉ,Bad Bunny,12.938821243902439
729,729,730,44,1,2020-11-27--2020-12-04,12660806,36177712,0Lsis3LB0XAK6XlTHXaJk2,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,67,0.588,E,0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,audio_features,0Lsis3LB0XAK6XlTHXaJk2,spotify:track:0Lsis3LB0XAK6XlTHXaJk2,https://api.spotify.com/v1/tracks/0Lsis3LB0XAK6XlTHXaJk2,https://api.spotify.com/v1/audio-analysis/0Lsis3LB0XAK6XlTHXaJk2,213609,4,MALDITA POBREZA,Bad Bunny,12.683533272727272
730,730,731,48,1,2020-11-27--2020-12-04,12507010,36177712,36DHxTW2xdr9GG15T9oK9L,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,67,0.224,F,0.716,0.522,5,-6.834,1,0.0582,0.166,6.5e-05,0.113,0.224,76.993,audio_features,36DHxTW2xdr9GG15T9oK9L,spotify:track:36DHxTW2xdr9GG15T9oK9L,https://api.spotify.com/v1/tracks/36DHxTW2xdr9GG15T9oK9L,https://api.spotify.com/v1/audio-analysis/36DHxTW2xdr9GG15T9oK9L,165199,4,EL MUNDO ES MÍO,Bad Bunny,12.527843333333333
731,731,732,53,1,2020-11-27--2020-12-04,11298839,36177712,7kjEqI6eZ7YlFrGhxixnlN,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,76,0.473,D,0.693,0.549,2,-6.098,1,0.0577,0.505,4.73e-05,0.324,0.473,139.988,audio_features,7kjEqI6eZ7YlFrGhxixnlN,spotify:track:7kjEqI6eZ7YlFrGhxixnlN,https://api.spotify.com/v1/tracks/7kjEqI6eZ7YlFrGhxixnlN,https://api.spotify.com/v1/audio-analysis/7kjEqI6eZ7YlFrGhxixnlN,221187,4,ANTES QUE SE ACABE,Bad Bunny,11.3177069245283
732,732,733,59,1,2020-11-27--2020-12-04,11066606,36177712,5jZ32WOU7sqzDYbzINwMUk,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,70,0.393,C#/Db,0.612,0.561,1,-6.054,1,0.0851,0.0601,0.0,0.145,0.393,191.911,audio_features,5jZ32WOU7sqzDYbzINwMUk,spotify:track:5jZ32WOU7sqzDYbzINwMUk,https://api.spotify.com/v1/tracks/5jZ32WOU7sqzDYbzINwMUk,https://api.spotify.com/v1/audio-analysis/5jZ32WOU7sqzDYbzINwMUk,163053,4,SORRY PAPI,"Bad Bunny, ABRA",11.083555152542374
733,733,734,63,1,2020-11-27--2020-12-04,10957181,36177712,3KJ3opyV29269SXkPrc19l,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,72,0.439,D,0.636,0.656,2,-5.542,0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,audio_features,3KJ3opyV29269SXkPrc19l,spotify:track:3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/tracks/3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l,151506,4,120,Bad Bunny,10.973054015873016
734,734,735,66,1,2020-11-27--2020-12-04,10733416,36177712,09WAnxdBuebQopKhJT3oZS,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,66,0.0508,D,0.43,0.412,2,-5.372,1,0.0281,0.2,0.0,0.324,0.0508,90.872,audio_features,09WAnxdBuebQopKhJT3oZS,spotify:track:09WAnxdBuebQopKhJT3oZS,https://api.spotify.com/v1/tracks/09WAnxdBuebQopKhJT3oZS,https://api.spotify.com/v1/audio-analysis/09WAnxdBuebQopKhJT3oZS,157673,4,TRELLAS,Bad Bunny,10.748567515151516
735,735,736,83,2,2020-11-27--2020-12-04,9624871,3609658,1SV1fxF65n9NhRHp3KlBuu,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",1980-05-16,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",51,0.771,B,0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,audio_features,7Lbxvt42JsNSKVCaN63qhD,spotify:track:7Lbxvt42JsNSKVCaN63qhD,https://api.spotify.com/v1/tracks/7Lbxvt42JsNSKVCaN63qhD,https://api.spotify.com/v1/audio-analysis/7Lbxvt42JsNSKVCaN63qhD,227653,4,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,9.64896738554217
736,736,737,16,2,2020-11-20--2020-11-27,8413330,37151476,3QH8rQGNFX8VLbCgZ7uPTS,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",76,0.588,B,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,audio_features,3QH8rQGNFX8VLbCgZ7uPTS,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,https://api.spotify.com/v1/tracks/3QH8rQGNFX8VLbCgZ7uPTS,https://api.spotify.com/v1/audio-analysis/3QH8rQGNFX8VLbCgZ7uPTS,222243,4,Fly To My Room,BTS,8.53833
737,737,738,24,2,2020-11-20--2020-11-27,7703744,37151476,2FVpOsjT1iquZ3SpCjZ9Ne,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",77,0.57,F,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,audio_features,2FVpOsjT1iquZ3SpCjZ9Ne,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,https://api.spotify.com/v1/tracks/2FVpOsjT1iquZ3SpCjZ9Ne,https://api.spotify.com/v1/audio-analysis/2FVpOsjT1iquZ3SpCjZ9Ne,202313,4,Telepathy,BTS,7.787077333333333
738,738,739,26,2,2020-11-20--2020-11-27,7165808,37151476,54DmTIv86D3sYdiawjULQ0,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",75,0.484,G#/Ab,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,audio_features,54DmTIv86D3sYdiawjULQ0,spotify:track:54DmTIv86D3sYdiawjULQ0,https://api.spotify.com/v1/tracks/54DmTIv86D3sYdiawjULQ0,https://api.spotify.com/v1/audio-analysis/54DmTIv86D3sYdiawjULQ0,239722,4,Dis-ease,BTS,7.242731076923077
739,739,740,27,2,2020-11-20--2020-11-27,7010227,37151476,3ndCsZfq8OVwwkz9mmZvUz,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",76,0.341,F#/Gb,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,audio_features,3ndCsZfq8OVwwkz9mmZvUz,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,https://api.spotify.com/v1/tracks/3ndCsZfq8OVwwkz9mmZvUz,https://api.spotify.com/v1/audio-analysis/3ndCsZfq8OVwwkz9mmZvUz,204800,4,Stay,BTS,7.084301074074075
740,740,741,151,5,2020-10-02--2020-10-09,6006877,15778531,5i7ThJfYLAzp2DyZuFpF6j,"['dance pop', 'pop', 'post-teen pop']",2020-09-29,"2020-11-27--2020-12-04
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",71,0.427,E,0.58,0.908,4,-5.303,1,0.0341,0.000335,4.84e-05,0.087,0.427,115.016,audio_features,5i7ThJfYLAzp2DyZuFpF6j,spotify:track:5i7ThJfYLAzp2DyZuFpF6j,https://api.spotify.com/v1/tracks/5i7ThJfYLAzp2DyZuFpF6j,https://api.spotify.com/v1/audio-analysis/5i7ThJfYLAzp2DyZuFpF6j,213672,4,Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,6.039989582781457
741,741,742,171,1,2020-11-27--2020-12-04,5842320,36177712,2Iv6YBslkxslMJQsxshZh5,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,56,0.962,D,0.764,0.523,2,-7.371,1,0.0406,0.777,0.0,0.352,0.962,118.671,audio_features,2Iv6YBslkxslMJQsxshZh5,spotify:track:2Iv6YBslkxslMJQsxshZh5,https://api.spotify.com/v1/tracks/2Iv6YBslkxslMJQsxshZh5,https://api.spotify.com/v1/audio-analysis/2Iv6YBslkxslMJQsxshZh5,199720,4,CANTARES DE NAVIDAD,Trio Vegabajeño,5.848167953216374
742,742,743,172,1,2020-11-27--2020-12-04,5816739,15778531,6qCsKKS7Ol63SJW3LOIX5R,"['dance pop', 'pop', 'post-teen pop']",2020-11-27,2020-11-27--2020-12-04,74,0.618,D,0.551,0.756,2,-4.948,1,0.0652,0.0511,0.0,0.0765,0.618,175.984,audio_features,6qCsKKS7Ol63SJW3LOIX5R,spotify:track:6qCsKKS7Ol63SJW3LOIX5R,https://api.spotify.com/v1/tracks/6qCsKKS7Ol63SJW3LOIX5R,https://api.spotify.com/v1/audio-analysis/6qCsKKS7Ol63SJW3LOIX5R,205733,4,Plastic Hearts,Miley Cyrus,5.822552953488372
743,743,744,63,24,2020-05-08--2020-05-15,5463964,2435159,2tFwfmceQa1Y6nRPhYbEtC,"['latin', 'reggaeton', 'trap latino']",2020-05-09,"2020-11-27--2020-12-04
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",81,0.304,D#/Eb,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,audio_features,2tFwfmceQa1Y6nRPhYbEtC,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,https://api.spotify.com/v1/tracks/2tFwfmceQa1Y6nRPhYbEtC,https://api.spotify.com/v1/audio-analysis/2tFwfmceQa1Y6nRPhYbEtC,227520,4,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",5.84491638095238
